,qid,docid,docno,rank,score,query,brand,model,text,clusters
54,q1,2992,d2993,54,7.5135951438890025,mercedes bmw x1,bmw,m3,bmw m3 2003 £Auction £Auction,5
55,q1,3306,d3307,55,7.5135951438890025,mercedes bmw x1,bmw,318i,bmw 318i 1990 £Auction £Auction,5
56,q1,4003,d4004,56,7.5135951438890025,mercedes bmw x1,bmw,alpina,bmw alpina 2001 £Auction £Auction,5
60,q1,3305,d3306,60,7.348440571169301,mercedes bmw x1,bmw,alpina+b10,bmw alpina+b10 2000 £Auction £Auction,5
61,q1,3311,d3312,61,7.348440571169301,mercedes bmw x1,bmw,735+se,bmw 735+se 1985 £Auction £Auction,5
62,q1,3322,d3323,62,7.348440571169301,mercedes bmw x1,bmw,320i+cabriolet,bmw 320i+cabriolet 1999 £Auction £Auction,5
63,q1,3340,d3341,63,7.348440571169301,mercedes bmw x1,bmw,m3+e36,bmw m3+e36 1999 £Auction £Auction,5
64,q1,3686,d3687,64,7.348440571169301,mercedes bmw x1,bmw,3+series,bmw 3+series 2003 £Auction £Auction,5
65,q1,3767,d3768,65,7.348440571169301,mercedes bmw x1,bmw,5+series,bmw 5+series 2006 £Auction £Auction,5
96,q1,3421,d3422,96,7.190390288574131,mercedes bmw x1,bmw,735i+sport+auto,bmw 735i+sport+auto 2001 £Auction £Auction,5
185,q1,1785,d1786,185,7.038995550444425,mercedes bmw x1,BMW,3.0CSL,BMW 3.0CSL 1973 Auction Vehicle Auction Vehicle,5
188,q1,3033,d3034,188,7.038995550444425,mercedes bmw x1,bmw,alpina+b10+-+e0+-+3300cc,bmw alpina+b10++e0++3300cc 2001 £Auction £Auction,5
194,q1,3266,d3267,194,7.038995550444425,mercedes bmw x1,bmw,z3+auto+-+e0+-+1895cc,bmw z3+auto++e0++1895cc 1997 £Auction £Auction,5
196,q1,3486,d3487,196,7.038995550444425,mercedes bmw x1,bmw,540i+m+sport+-+e0+-+4000cc,bmw 540i+m+sport++e0++4000cc 2006 £Auction £Auction,5
2,q1,4713,d4714,2,9.265545765213263,mercedes bmw x1,mercedes,280sl,mercedes 280sl 1971 £POA £POA,10
7,q1,4125,d4126,7,9.061881976765301,mercedes bmw x1,mercedes benz,300sl,mercedes benz 300sl 1987 £POA £POA,10
8,q1,3278,d3279,8,8.866978991104503,mercedes bmw x1,mercedes,benz,"mercedes benz 2011 £13,250 £13,250",10
57,q1,4291,d4292,57,7.5135951438890025,mercedes bmw x1,bmw,z3,bmw z3 1999 £POA £POA,10
58,q1,4468,d4469,58,7.5135951438890025,mercedes bmw x1,bmw,2000,bmw 2000 1968 £POA £POA,10
147,q1,5272,d5273,147,7.190390288574131,mercedes bmw x1,bmw,z3,"bmw z3 1999 £4,250 £4,250",10
181,q1,2880,d2881,181,7.05481397375665,mercedes bmw x1,Mercedes Benz,250 S,"Mercedes Benz 250 S 1968 €22,950 MercedesBenz 250 S Mercedes Benz 250 S | History known | Good condition | 1968 Highlights: Maintenance history known MercedesBenz 250 S with maintenance history for sale White MercedesBenz 250 S for sale Want to buy a MercedesBenz 250 S from 1968? We can help with transport. Within Europe you do not need to pay any import duties. Trading in, buying and consignment possible. €22,950",10
191,q1,3099,d3100,191,7.038995550444425,mercedes bmw x1,bmw,3+series,"bmw 3+series 2012 £6,250 £6,250",10
217,q1,5552,d5553,217,7.038995550444425,mercedes bmw x1,bmw,5+series,"bmw 5+series 1995 £6,250 £6,250",10
220,q1,5783,d5784,220,7.038995550444425,mercedes bmw x1,bmw,3+series,"bmw 3+series 1999 £3,250 £3,250",10
10,q1,3529,d3530,10,8.866978991104503,mercedes bmw x1,mercedes,benz,"mercedes benz 2006 £9,995 £9,995",6
11,q1,3855,d3856,11,8.866978991104503,mercedes bmw x1,mercedes,benz,"mercedes benz 2003 £14,995 £14,995",6
13,q1,4178,d4179,13,8.866978991104503,mercedes bmw x1,mercedes,s+class,"mercedes s+class 1971 £15,995 £15,995",6
14,q1,4370,d4371,14,8.866978991104503,mercedes bmw x1,mercedes,c+class,"mercedes c+class 2011 £8,995 £8,995",6
16,q1,5196,d5197,16,8.866978991104503,mercedes bmw x1,mercedes,benz,"mercedes benz 2003 £6,995 £6,995",6
18,q1,5994,d5995,18,8.866978991104503,mercedes bmw x1,mercedes,s+class,"mercedes s+class 1999 £9,995 £9,995",6
19,q1,5995,d5996,19,8.866978991104503,mercedes bmw x1,mercedes,s+class,"mercedes s+class 2004 £13,995 £13,995",6
22,q1,3561,d3562,22,8.680283428209535,mercedes bmw x1,mercedes benz,280sl,"mercedes benz 280sl 1984 £19,995 £19,995",6
24,q1,4210,d4211,24,8.680283428209535,mercedes bmw x1,mercedes,benz+380sl,"mercedes benz+380sl 1980 £39,995 £39,995",6
25,q1,4869,d4870,25,8.680283428209535,mercedes bmw x1,mercedes,c+class+c200,"mercedes c+class+c200 2009 £8,995 £8,995",6
27,q1,5993,d5994,27,8.680283428209535,mercedes bmw x1,mercedes,slk+230,"mercedes slk+230 1999 £7,995 £7,995",6
29,q1,3157,d3158,29,8.501287552993148,mercedes bmw x1,mercedes benz,e+class+e220,"mercedes benz e+class+e220 1995 £7,995 £7,995",6
36,q1,4870,d4871,36,8.501287552993148,mercedes bmw x1,mercedes,slk+230+kompressor,"mercedes slk+230+kompressor 2004 £9,995 £9,995",6
77,q1,2044,d2045,77,7.190390288574131,mercedes bmw x1,BMW,M6,"BMW M6 2007 $28,995 $28,995",6
78,q1,2097,d2098,78,7.190390288574131,mercedes bmw x1,BMW,i3,"BMW i3 2016 $20,995 $20,995",6
85,q1,3109,d3110,85,7.190390288574131,mercedes bmw x1,bmw,z4m,"bmw z4m 2006 £27,995 £27,995",6
86,q1,3152,d3153,86,7.190390288574131,mercedes bmw x1,bmw,z3,"bmw z3 2001 £11,995 £11,995",6
91,q1,3218,d3219,91,7.190390288574131,mercedes bmw x1,bmw,m235i,"bmw m235i 2014 £15,995 £15,995",6
94,q1,3282,d3283,94,7.190390288574131,mercedes bmw x1,bmw,z4,"bmw z4 2011 £11,995 £11,995",6
95,q1,3395,d3396,95,7.190390288574131,mercedes bmw x1,bmw,320,"bmw 320 2004 £5,995 £5,995",6
98,q1,3437,d3438,98,7.190390288574131,mercedes bmw x1,bmw,alpina,"bmw alpina 2004 £19,995 £19,995",6
101,q1,3508,d3509,101,7.190390288574131,mercedes bmw x1,bmw,m3,"bmw m3 2017 £38,995 £38,995",6
109,q1,3942,d3943,109,7.190390288574131,mercedes bmw x1,bmw,e46,"bmw e46 2004 £20,995 £20,995",6
115,q1,4078,d4079,115,7.190390288574131,mercedes bmw x1,bmw,r1200,"bmw r1200 1999 £5,995 £5,995",6
116,q1,4086,d4087,116,7.190390288574131,mercedes bmw x1,bmw,z1,"bmw z1 1990 £49,995 £49,995",6
117,q1,4224,d4225,117,7.190390288574131,mercedes bmw x1,bmw,alpina,"bmw alpina 2005 £24,995 £24,995",6
125,q1,4609,d4610,125,7.190390288574131,mercedes bmw x1,bmw,z3,"bmw z3 2000 £5,995 £5,995",6
127,q1,4725,d4726,127,7.190390288574131,mercedes bmw x1,bmw,318,"bmw 318 2003 £2,995 £2,995",6
128,q1,4774,d4775,128,7.190390288574131,mercedes bmw x1,bmw,m3,"bmw m3 1995 £14,995 £14,995",6
130,q1,4851,d4852,130,7.190390288574131,mercedes bmw x1,bmw,z1,"bmw z1 1986 £29,995 £29,995",6
136,q1,4975,d4976,136,7.190390288574131,mercedes bmw x1,bmw,318,"bmw 318 2003 £2,995 £2,995",6
143,q1,5098,d5099,143,7.190390288574131,mercedes bmw x1,bmw,z3m,"bmw z3m 1998 £25,995 £25,995",6
146,q1,5270,d5271,146,7.190390288574131,mercedes bmw x1,bmw,z4,"bmw z4 2007 £9,995 £9,995",6
151,q1,5366,d5367,151,7.190390288574131,mercedes bmw x1,bmw,z3,"bmw z3 2001 £3,995 £3,995",6
154,q1,5475,d5476,154,7.190390288574131,mercedes bmw x1,bmw,840,"bmw 840 1997 £18,995 £18,995",6
155,q1,5478,d5479,155,7.190390288574131,mercedes bmw x1,bmw,e24,"bmw e24 1980 £34,995 £34,995",6
162,q1,5853,d5854,162,7.190390288574131,mercedes bmw x1,bmw,m240i,"bmw m240i 2016 £19,995 £19,995",6
170,q1,5918,d5919,170,7.190390288574131,mercedes bmw x1,bmw,325,"bmw 325 1997 £5,995 £5,995",6
171,q1,5974,d5975,171,7.190390288574131,mercedes bmw x1,bmw,z4,"bmw z4 2009 £9,995 £9,995",6
177,q1,6244,d6245,177,7.190390288574131,mercedes bmw x1,bmw,alpina,"bmw alpina 2004 £26,995 £26,995",6
178,q1,6486,d6487,178,7.190390288574131,mercedes bmw x1,bmw,z8,"bmw z8 2001 £199,995 £199,995",6
182,q1,1023,d1024,182,7.038995550444425,mercedes bmw x1,BMW,3 Series,"BMW 3 Series 2018 $24,995 $24,995",6
197,q1,3638,d3639,197,7.038995550444425,mercedes bmw x1,bmw,5+series,"bmw 5+series 2002 £6,995 £6,995",6
199,q1,3774,d3775,199,7.038995550444425,mercedes bmw x1,bmw,3+series,"bmw 3+series 1999 £8,995 £8,995",6
204,q1,4127,d4128,204,7.038995550444425,mercedes bmw x1,bmw,230+m+sport,"bmw 230+m+sport 2017 £17,995 £17,995",6
213,q1,5257,d5258,213,7.038995550444425,mercedes bmw x1,bmw,7+series,"bmw 7+series 2007 £19,995 £19,995",6
215,q1,5521,d5522,215,7.038995550444425,mercedes bmw x1,bmw,3+series,"bmw 3+series 2001 £9,995 £9,995",6
222,q1,6100,d6101,222,7.038995550444425,mercedes bmw x1,bmw,3+series,"bmw 3+series 2004 £6,995 £6,995",6
224,q1,6221,d6222,224,7.038995550444425,mercedes bmw x1,bmw,6+series,"bmw 6+series 2006 £5,995 £5,995",6
225,q1,6340,d6341,225,7.038995550444425,mercedes bmw x1,bmw,5+series,"bmw 5+series 2001 £2,995 £2,995",6
233,q1,4304,d4305,233,6.7545590571263245,mercedes bmw x1,bmw,3+series+325i+se,"bmw 3+series+325i+se 2005 £8,995 £8,995",6
23,q1,4161,d4162,23,8.680283428209535,mercedes bmw x1,mercedes,sl320+v6,"mercedes sl320+v6 2000 £15,795 £15,795",1
28,q1,2740,d2741,28,8.557644703913523,mercedes bmw x1,BMW,Alpina B3,"BMW Alpina B3 1999 €29,950 BMW Alpina B3 BMW E46 Alpina B3 | Only 591 Built | European Car | 1999 Highlights: Original Alpina version BMW E46 Alpina in very good condition for sale Silver gray BMW E46 Alpina B3 for sale Want to buy a BMW E46 Alpina B3? €29,950",1
38,q1,2743,d2744,38,8.48115101174542,mercedes bmw x1,BMW,320,"BMW 320 1984 €19,950 BMW 320 Baur TC BMW 320 Baur TC | Cabriolet | Rare | 1984 €19,950",1
39,q1,2855,d2856,39,8.378910293325697,mercedes bmw x1,BMW,M3,"BMW M3 1986 €99,950 BMW E30 M3 BMW E30 M3 | Very good condition | Overhauled engine | 1986 Highlights: Maintenance history known BMW E30 M3 in very good condition for sale BMW E30 M3 in Diamantschwarz metallic for sale Buy BMW E30 M3? We can help with transport. Within Europe you do not need to pay any import duties. Trading in, buying and consignment possible. €99,950",1
41,q1,4653,d4654,41,8.32952466417377,mercedes bmw x1,mercedes benz,450+slc+rhd,"mercedes benz 450+slc+rhd 1979 £25,150 £25,150",1
42,q1,2929,d2930,42,8.207489207654175,mercedes bmw x1,BMW,M3,"BMW M3 2005 €36,950 BMW M3 Cabriolet BMW M3 Cabriolet | History known | 333 HP | Automatic | 2005 Highlights: Maintenance history known BMW M3 Cabriolet with maintenance history for sale BMW M3 Cabriolet in Mystic Blue for sale Want to buy a BMW M3 Cabriolet from 2005? We can help with transport. Within Europe you do not need to pay any import duties. Trading in, buying and consignment possible. €36,950",1
45,q1,2928,d2929,45,8.140868775405316,mercedes bmw x1,BMW,Z3,"BMW Z3 1998 €19,950 BMW Z3 Cabriolet BMW Z3 Cabriolet | 119,724 km | History known | Wide body | 1998 Highlights: 119,724 km BMW Z3 Cabriolet Wide body for sale BMW Z3 Cabriolet with various options for sale Want to buy BMW Z3 Cabriolet Wide body? We can help with transport. Within Europe you do not need to pay any import duties. Trading in, buying and consignment possible. €19,950",1
49,q1,2730,d2731,49,8.107962489934165,mercedes bmw x1,BMW,320,"BMW 320 1989 €21,950 BMW 320i E30 Cabriolet BMW 320i E30 Cabriolet | 6 Cylinder | Manual gearbox | 1989 Highlights: 2.0 liter 6cylinder BMW 320i E30 Cabriolet with 6cylinder engine for sale BMW 320i E30 Cabriolet with various options for sale Want to buy a BMW 320i E30 Cabriolet? We can help with transport. Within Europe you do not need to pay any import duties. Trading in, buying and consignment possible. €21,950",1
68,q1,928,d929,68,7.190390288574131,mercedes bmw x1,BMW,Z4,"BMW Z4 2003 $18,900 $18,900",1
75,q1,1913,d1914,75,7.190390288574131,mercedes bmw x1,BMW,430i,"BMW 430i 2018 $34,929 $34,929",1
76,q1,1944,d1945,76,7.190390288574131,mercedes bmw x1,BMW,X5,"BMW X5 2016 $27,900 $27,900",1
79,q1,2216,d2217,79,7.190390288574131,mercedes bmw x1,BMW,X6,"BMW X6 2014 $21,480 $21,480",1
82,q1,2559,d2560,82,7.190390288574131,mercedes bmw x1,BMW,Motorcycle,"BMW Motorcycle 1975 $19,900 $19,900",1
84,q1,3100,d3101,84,7.190390288574131,mercedes bmw x1,bmw,e36,"bmw e36 1999 £3,800 £3,800",1
87,q1,3177,d3178,87,7.190390288574131,mercedes bmw x1,bmw,z4,"bmw z4 2011 £9,490 £9,490",1
99,q1,3452,d3453,99,7.190390288574131,mercedes bmw x1,bmw,r1150,"bmw r1150 2004 €7,350 €7,350",1
105,q1,3701,d3702,105,7.190390288574131,mercedes bmw x1,bmw,z3,"bmw z3 1999 £8,999 £8,999",1
107,q1,3906,d3907,107,7.190390288574131,mercedes bmw x1,bmw,325,"bmw 325 2001 £2,595 £2,595",1
139,q1,5021,d5022,139,7.190390288574131,mercedes bmw x1,bmw,z3,"bmw z3 1999 £5,499 £5,499",1
140,q1,5033,d5034,140,7.190390288574131,mercedes bmw x1,bmw,e36,"bmw e36 1998 £2,450 £2,450",1
148,q1,5333,d5334,148,7.190390288574131,mercedes bmw x1,bmw,z3,"bmw z3 2002 £4,575 £4,575",1
159,q1,5787,d5788,159,7.190390288574131,mercedes bmw x1,bmw,z4,"bmw z4 2007 £4,650 £4,650",1
164,q1,5891,d5892,164,7.190390288574131,mercedes bmw x1,bmw,z3,"bmw z3 1999 £1,800 £1,800",1
174,q1,6078,d6079,174,7.190390288574131,mercedes bmw x1,bmw,z3,"bmw z3 1997 £3,895 £3,895",1
175,q1,6094,d6095,175,7.190390288574131,mercedes bmw x1,bmw,e34,"bmw e34 1995 £3,499 £3,499",1
186,q1,2025,d2026,186,7.038995550444425,mercedes bmw x1,BMW,3.0CSL,BMW 3.0CSL 1972 Contact Seller Contact Seller,1
195,q1,3380,d3381,195,7.038995550444425,mercedes bmw x1,bmw,5+series,"bmw 5+series 2000 £1,200 £1,200",1
201,q1,4052,d4053,201,7.038995550444425,mercedes bmw x1,bmw,5+series,"bmw 5+series 2004 £1,400 £1,400",1
203,q1,4065,d4066,203,7.038995550444425,mercedes bmw x1,bmw,5+series,"bmw 5+series 2000 £6,700 £6,700",1
211,q1,5164,d5165,211,7.038995550444425,mercedes bmw x1,bmw,5+series,"bmw 5+series 1998 £5,600 £5,600",1
216,q1,5529,d5530,216,7.038995550444425,mercedes bmw x1,bmw,1+series,"bmw 1+series 2009 £3,999 £3,999",1
218,q1,5612,d5613,218,7.038995550444425,mercedes bmw x1,bmw,5+series,"bmw 5+series 2000 £2,300 £2,300",1
15,q1,5055,d5056,15,8.866978991104503,mercedes bmw x1,mercedes,450slc,"mercedes 450slc 1977 £45,500 £45,500",0
20,q1,6469,d6470,20,8.866978991104503,mercedes bmw x1,mercedes,benz,"mercedes benz 2006 £27,500 £27,500",0
26,q1,5001,d5002,26,8.680283428209535,mercedes bmw x1,mercedes,560sl+sports,"mercedes 560sl+sports 1988 £44,500 £44,500",0
92,q1,3223,d3224,92,7.190390288574131,mercedes bmw x1,bmw,z3,"bmw z3 1999 £3,500 £3,500",0
104,q1,3657,d3658,104,7.190390288574131,mercedes bmw x1,bmw,m3,"bmw m3 1990 €82,500 €82,500",0
108,q1,3939,d3940,108,7.190390288574131,mercedes bmw x1,bmw,328,"bmw 328 1999 £8,500 £8,500",0
133,q1,4927,d4928,133,7.190390288574131,mercedes bmw x1,bmw,z3,"bmw z3 1999 £1,500 £1,500",0
158,q1,5657,d5658,158,7.190390288574131,mercedes bmw x1,bmw,2000,"bmw 2000 1972 €33,500 €33,500",0
160,q1,5803,d5804,160,7.190390288574131,mercedes bmw x1,bmw,1802,"bmw 1802 1974 £19,500 £19,500",0
161,q1,5838,d5839,161,7.190390288574131,mercedes bmw x1,bmw,z3,"bmw z3 2000 £14,500 £14,500",0
169,q1,5914,d5915,169,7.190390288574131,mercedes bmw x1,bmw,520,"bmw 520 1998 £3,500 £3,500",0
183,q1,1277,d1278,183,7.038995550444425,mercedes bmw x1,BMW,5 Series,"BMW 5 Series 2000 $31,500 $31,500",0
184,q1,1313,d1314,184,7.038995550444425,mercedes bmw x1,BMW,7 Series,"BMW 7 Series 1972 $4,500 $4,500",0
207,q1,4915,d4916,207,7.038995550444425,mercedes bmw x1,bmw,7+series,"bmw 7+series 2014 £34,500 £34,500",0
209,q1,5117,d5118,209,7.038995550444425,mercedes bmw x1,bmw,7+series,"bmw 7+series 1997 £4,500 £4,500",0
221,q1,5790,d5791,221,7.038995550444425,mercedes bmw x1,bmw,7+series,"bmw 7+series 1998 £11,500 £11,500",0
226,q1,6386,d6387,226,7.038995550444425,mercedes bmw x1,bmw,3+series,"bmw 3+series 2006 £2,500 £2,500",0
9,q1,3420,d3421,9,8.866978991104503,mercedes bmw x1,mercedes,sl350,"mercedes sl350 2014 £22,950 £22,950",7
12,q1,4057,d4058,12,8.866978991104503,mercedes bmw x1,mercedes,benz,"mercedes benz 1975 €21,950 €21,950",7
44,q1,4477,d4478,44,8.164565031065516,mercedes bmw x1,mercedes benz,g+wagen+240gd+swb+convertible,"mercedes benz g+wagen+240gd+swb+convertible 1987 £29,950 £29,950",7
66,q1,4066,d4067,66,7.348440571169301,mercedes bmw x1,bmw,m,"bmw m 1984 €49,950 €49,950",7
67,q1,2781,d2782,67,7.297444419117666,mercedes bmw x1,Mercedes Benz,300SL,"Mercedes Benz 300SL 1992 €22,950 MercedesBenz 300SL MercedesBenz 300SL | Black on Black | Air conditioning | 1992 €22,950",7
69,q1,963,d964,69,7.190390288574131,mercedes bmw x1,BMW,Z3,"BMW Z3 1999 $28,950 $28,950",7
71,q1,1182,d1183,71,7.190390288574131,mercedes bmw x1,BMW,525i,"BMW 525i 2004 $12,950 $12,950",7
89,q1,3192,d3193,89,7.190390288574131,mercedes bmw x1,bmw,r100rs,"bmw r100rs 1978 €8,950 €8,950",7
90,q1,3211,d3212,90,7.190390288574131,mercedes bmw x1,bmw,m3,"bmw m3 2004 £24,950 £24,950",7
93,q1,3271,d3272,93,7.190390288574131,mercedes bmw x1,bmw,m6,"bmw m6 2013 £36,950 £36,950",7
102,q1,3648,d3649,102,7.190390288574131,mercedes bmw x1,bmw,m3,"bmw m3 1990 €129,950 €129,950",7
103,q1,3656,d3657,103,7.190390288574131,mercedes bmw x1,bmw,m5,"bmw m5 1986 €69,950 €69,950",7
110,q1,3962,d3963,110,7.190390288574131,mercedes bmw x1,bmw,2800,"bmw 2800 1974 €29,950 €29,950",7
113,q1,4053,d4054,113,7.190390288574131,mercedes bmw x1,bmw,r90,"bmw r90 1974 €28,950 €28,950",7
121,q1,4488,d4489,121,7.190390288574131,mercedes bmw x1,bmw,m5,"bmw m5 1992 €42,950 €42,950",7
126,q1,4709,d4710,126,7.190390288574131,mercedes bmw x1,bmw,840,"bmw 840 1997 €39,950 €39,950",7
129,q1,4847,d4848,129,7.190390288574131,mercedes bmw x1,bmw,r100,"bmw r100 1978 €9,950 €9,950",7
145,q1,5170,d5171,145,7.190390288574131,mercedes bmw x1,bmw,325,"bmw 325 2004 £6,950 £6,950",7
153,q1,5430,d5431,153,7.190390288574131,mercedes bmw x1,bmw,z4m,"bmw z4m 2007 £29,950 £29,950",7
156,q1,5497,d5498,156,7.190390288574131,mercedes bmw x1,bmw,e3,"bmw e3 1972 £21,950 £21,950",7
163,q1,5886,d5887,163,7.190390288574131,mercedes bmw x1,bmw,323,"bmw 323 1981 €30,950 €30,950",7
165,q1,5892,d5893,165,7.190390288574131,mercedes bmw x1,bmw,2002,"bmw 2002 1974 €149,950 €149,950",7
166,q1,5894,d5895,166,7.190390288574131,mercedes bmw x1,bmw,m6,"bmw m6 1987 €52,950 €52,950",7
176,q1,6180,d6181,176,7.190390288574131,mercedes bmw x1,bmw,330,"bmw 330 2001 £2,950 £2,950",7
187,q1,2252,d2253,187,7.038995550444425,mercedes bmw x1,BMW,3 Series,"BMW 3 Series 2007 $17,950 $17,950",7
198,q1,3647,d3648,198,7.038995550444425,mercedes bmw x1,bmw,3.0,"bmw 3.0 1975 €59,950 €59,950",7
202,q1,4054,d4055,202,7.038995550444425,mercedes bmw x1,bmw,3.0,"bmw 3.0 1972 €25,950 €25,950",7
205,q1,4423,d4424,205,7.038995550444425,mercedes bmw x1,bmw,2002+turbo,"bmw 2002+turbo 1974 €99,950 €99,950",7
212,q1,5221,d5222,212,7.038995550444425,mercedes bmw x1,bmw,5+series,"bmw 5+series 2002 £4,950 £4,950",7
234,q1,2733,d2734,234,6.704101464685929,mercedes bmw x1,Mercedes Benz,CL55,"Mercedes Benz CL55 2003 €29,950 MercedesBenz CL55 AMG MercedesBenz CL55 AMG | 96,914 km | 650 HP | History known | 2003 €29,950",7
17,q1,5271,d5272,17,8.866978991104503,mercedes bmw x1,mercedes,300sl,"mercedes 300sl 1989 £46,750 £46,750",8
81,q1,2477,d2478,81,7.190390288574131,mercedes bmw x1,BMW,Bavaria,"BMW Bavaria 1973 $9,750 $9,750",8
118,q1,4380,d4381,118,7.190390288574131,mercedes bmw x1,bmw,z3,"bmw z3 2001 £4,750 £4,750",8
119,q1,4390,d4391,119,7.190390288574131,mercedes bmw x1,bmw,520,"bmw 520 1973 £11,750 £11,750",8
123,q1,4524,d4525,123,7.190390288574131,mercedes bmw x1,bmw,325,"bmw 325 2001 £2,750 £2,750",8
124,q1,4600,d4601,124,7.190390288574131,mercedes bmw x1,bmw,320,"bmw 320 1993 £6,750 £6,750",8
138,q1,5015,d5016,138,7.190390288574131,mercedes bmw x1,bmw,z3,"bmw z3 2000 £3,750 £3,750",8
142,q1,5061,d5062,142,7.190390288574131,mercedes bmw x1,bmw,z3,"bmw z3 1998 £3,750 £3,750",8
152,q1,5397,d5398,152,7.190390288574131,mercedes bmw x1,bmw,z3,"bmw z3 1999 £7,750 £7,750",8
172,q1,6008,d6009,172,7.190390288574131,mercedes bmw x1,bmw,z3,"bmw z3 2001 £10,750 £10,750",8
189,q1,3065,d3066,189,7.038995550444425,mercedes bmw x1,bmw,1+series,"bmw 1+series 2015 £14,750 £14,750",8
190,q1,3082,d3083,190,7.038995550444425,mercedes bmw x1,bmw,8+series,"bmw 8+series 1998 £22,750 £22,750",8
193,q1,3183,d3184,193,7.038995550444425,mercedes bmw x1,bmw,1+series,"bmw 1+series 2015 £6,750 £6,750",8
206,q1,4804,d4805,206,7.038995550444425,mercedes bmw x1,bmw,3+series,"bmw 3+series 2001 £6,750 £6,750",8
228,q1,6403,d6404,228,7.038995550444425,mercedes bmw x1,bmw,3+series,"bmw 3+series 1992 £3,750 £3,750",8
70,q1,1091,d1092,70,7.190390288574131,mercedes bmw x1,BMW,M3,"BMW M3 2011 $59,980 $59,980",12
73,q1,1223,d1224,73,7.190390288574131,mercedes bmw x1,BMW,Isetta,"BMW Isetta 1957 $30,980 $30,980",12
74,q1,1872,d1873,74,7.190390288574131,mercedes bmw x1,BMW,M3,"BMW M3 1994 $54,980 $54,980",12
141,q1,5052,d5053,141,7.190390288574131,mercedes bmw x1,bmw,1m,"bmw 1m 2011 £54,995 £54,995",12
35,q1,3952,d3953,35,8.501287552993148,mercedes bmw x1,mercedes,350sl+w107+convertible,"mercedes 350sl+w107+convertible 1977 £28,000 £28,000",4
37,q1,6520,d6521,37,8.501287552993148,mercedes bmw x1,mercedes benz,g+wagen+300gd,"mercedes benz g+wagen+300gd 1989 £69,000 £69,000",4
80,q1,2255,d2256,80,7.190390288574131,mercedes bmw x1,BMW,2800CS,"BMW 2800CS 1971 $110,000 $110,000",4
97,q1,3424,d3425,97,7.190390288574131,mercedes bmw x1,bmw,r1200c,"bmw r1200c 1998 £5,000 £5,000",4
100,q1,3464,d3465,100,7.190390288574131,mercedes bmw x1,bmw,z8,"bmw z8 2001 €285,000 €285,000",4
106,q1,3702,d3703,106,7.190390288574131,mercedes bmw x1,bmw,520,"bmw 520 2002 £3,000 £3,000",4
112,q1,4046,d4047,112,7.190390288574131,mercedes bmw x1,bmw,1602,"bmw 1602 1975 £32,000 £32,000",4
114,q1,4056,d4057,114,7.190390288574131,mercedes bmw x1,bmw,2002,"bmw 2002 1974 €42,000 €42,000",4
120,q1,4413,d4414,120,7.190390288574131,mercedes bmw x1,bmw,z8,"bmw z8 2000 £129,000 £129,000",4
122,q1,4522,d4523,122,7.190390288574131,mercedes bmw x1,bmw,525,"bmw 525 1991 £5,000 £5,000",4
